"Timestamp","What is the address","What is the price","What is the link?"
"2023/11/14 2:00:32 PM GMT+5:30","","",""
"2023/11/14 3:08:31 PM GMT+5:30","747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2023/11/14 3:11:09 PM GMT+5:30","747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2023/11/14 3:11:27 PM GMT+5:30","Parkmerced | 3711 19th Ave, San Francisco, CA","$2,810","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/"
"2023/11/14 3:11:44 PM GMT+5:30","845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/"
"2023/11/14 3:12:02 PM GMT+5:30","100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/"
"2023/11/14 3:12:20 PM GMT+5:30","828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/"
"2023/11/14 3:12:37 PM GMT+5:30","923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/"
"2023/11/14 3:12:54 PM GMT+5:30","Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974","https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/"
"2023/11/14 3:13:11 PM GMT+5:30","Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704","https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/"
"2023/11/14 3:13:27 PM GMT+5:30","NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810","https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/"
"2023/11/14 3:13:44 PM GMT+5:30","The Landing | 1395 22nd St, San Francisco, CA","$2,798","https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/"
"2023/11/14 3:14:00 PM GMT+5:30","1350 Washington Street | 1350 Washington St, San Francisco, CA","$2,195","https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/"
"2023/11/14 3:14:18 PM GMT+5:30","2775 Market St, 2775 Market St APT 102, San Francisco, CA 94114","$2,995","https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/"
"2023/11/14 3:14:36 PM GMT+5:30","Mt. Sutro, 480 Warren Dr #312, San Francisco, CA 94131","$2,895","https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/"
"2023/11/14 3:14:55 PM GMT+5:30","Konrad on the Park, 971 Eddy St #212, San Francisco, CA 94109","$2,805","https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/"
"2023/11/14 3:15:12 PM GMT+5:30","1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA","$1914","https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/"
"2023/11/14 3:15:29 PM GMT+5:30","Nob Hill Place, 1155 Jones St APT 208, San Francisco, CA 94109","$2,950","https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/"
"2023/11/14 3:15:51 PM GMT+5:30","Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131","$2,917","https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/"
"2023/11/14 3:16:07 PM GMT+5:30","125-135 Gardenside, 125 Gardenside Dr, San Francisco, CA 94114","$2,595","https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/"
"2023/11/14 3:16:23 PM GMT+5:30","Freedom West, 820 McAllister St, San Francisco, CA 94102","$2,000","https://www.zillow.com/apartments/san-francisco-ca/freedom-west/5mmHmr/"
"2023/11/14 3:16:39 PM GMT+5:30","Franklin St, 24 Franklin St #805, San Francisco, CA 94102","$2,824","https://www.zillow.com/apartments/san-francisco-ca/franklin-st/9NJqFL/"
"2023/11/14 3:16:55 PM GMT+5:30","Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800","https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/"
"2023/11/14 3:17:12 PM GMT+5:30","Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,450","https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/"
